ID_zamowienia	Data	ID_Produktu	ID_klienta	Liczba_sztuk
1/2012	2012-05-14	405	TC563	1
2/2012	2012-05-15	417	HS605	1
3/2012	2012-05-16	180	JP555	1
4/2012	2012-05-17	311	KZ630	1
5/2012	2012-05-18	235	PM337	1
6/2012	2012-05-18	492	MB485	1
7/2012	2012-05-18	98	DP689	1
8/2012	2012-05-18	72	JK086	1
9/2012	2012-05-18	521	AN852	1
10/2012	2012-05-18	144	JH957	1
11/2012	2012-05-18	530	KG154	1
12/2012	2012-05-18	329	PG448	1
13/2012	2012-05-18	223	AG136	1
14/2012	2012-05-19	193	PS069	1
15/2012	2012-05-20	222	JJ613	1
16/2012	2012-05-21	275	JM370	1
17/2012	2012-05-21	64	BK241	1
18/2012	2012-05-21	83	ED794	1
19/2012	2012-05-21	12	AZ370	1
20/2012	2012-06-02	532	AF560	1
21/2012	2012-06-03	19	JJ331	1
22/2012	2012-06-03	378	WW133	1
23/2012	2012-06-03	118	TR502	1
24/2012	2012-06-06	179	BH859	1
25/2012	2012-06-07	345	AS370	1
26/2012	2012-06-08	202	EW677	1
27/2012	2012-06-09	467	JB645	1
28/2012	2012-06-10	272	AZ877	2
29/2012	2012-06-11	245	MS560	1
30/2012	2012-06-12	65	BP518	1
31/2012	2012-06-13	224	KT061	1
32/2012	2012-06-14	440	HK463	1
33/2012	2012-06-15	109	BB759	1
34/2012	2012-06-15	374	HP518	1
35/2012	2012-06-15	309	EM294	1
36/2012	2012-06-15	52	WW713	1
37/2012	2012-06-15	154	MS545	1
38/2012	2012-06-15	421	KJ646	1
39/2012	2012-06-16	405	PG448	1
40/2012	2012-06-17	413	TL518	1
41/2012	2012-06-18	422	BS343	1
42/2012	2012-06-18	325	TO616	1
43/2012	2012-06-19	293	KK399	1
44/2012	2012-06-20	374	MW455	1
45/2012	2012-06-21	45	KP135	3
46/2012	2012-06-22	519	KG154	1
47/2012	2012-06-23	499	WM980	2
48/2012	2012-06-24	132	KW801	1
49/2012	2012-06-25	110	MS917	1
50/2012	2012-06-26	134	AK935	1
51/2012	2012-06-27	13	AW703	1
52/2012	2012-06-27	414	HL980	1
53/2012	2012-06-27	265	AB802	1
54/2012	2012-06-28	100	IO322	1
55/2012	2012-06-28	308	IM433	1
56/2012	2012-06-29	530	BW305	1
57/2012	2012-06-30	44	MM926	1
58/2012	2012-07-01	390	FS911	1
59/2012	2012-07-02	168	HT909	1
60/2012	2012-07-03	521	MS560	1
61/2012	2012-07-03	359	BK241	1
62/2012	2012-07-03	180	AK530	1
63/2012	2012-07-04	466	MB909	1
64/2012	2012-07-04	415	MS545	1
65/2012	2012-07-04	524	JW868	1
66/2012	2012-07-04	484	AB679	1
67/2012	2012-07-05	418	EW677	1
68/2012	2012-07-05	487	AB514	1
69/2012	2012-07-05	413	BM497	1
70/2012	2012-07-05	235	HS605	1
71/2012	2012-07-06	186	AZ370	2
72/2012	2012-07-07	130	AL097	1
73/2012	2012-07-08	400	JR765	1
