ID_Produktu	Nazwa_produktu	Grupa_towarowa	Producent	Cena_brutto
1	98PDF	Monitory CRT 19"	Smar	240,34
2	FLATRONF720B	Monitory CRT 17"	HW	303,78
3	180BFLAT	Monitory CRT 17"	Action	313,54
4	FLATRONEZT710BH	Monitory CRT 17"	HW	345,26
5	FLATRONEZT710PH	Monitory CRT 17"	HW	369,66
6	DigimaxA403	Aparaty cyfrowe	SAE	377,8
7	SM793DFASAP	Monitory CRT 17"	SAEP	413,58
8	FINEPIXA400	Aparaty cyfrowe	CER	414,4
9	DigimaxA40	Aparaty cyfrowe	SAE	419,28
10	(SM793DF)ASAP	Monitory CRT 17"	SAEP	425,78
11	DIGIMAX	Aparaty cyfrowe	SAE	438,38
12	IXL4	Aparaty cyfrowe	SPE	458,32
13	L530N-B	Monitory LCD 15"	Static	486,78
14	EASYSHAREC533	Aparaty cyfrowe	KK	496,94
15	FINEPIXA500	Aparaty cyfrowe	CER	501,02
16	DMC-LS2	Aparaty cyfrowe	P&S	516,88
17	DigimaxS500	Aparaty cyfrowe	SAE	521,34
18	Power430	Aparaty cyfrowe	Power	531,92
19	FE-170	Aparaty cyfrowe	PUS	557,94
20	FP51G	Monitory LCD 15"	Centre	591,3
21	IXL2	Aparaty cyfrowe	SPE	592,52
22	FE-150XD128MB	Aparaty cyfrowe	PUS	592,52
23	FE-140	Aparaty cyfrowe	PUS	594,96
24	IXL3	Aparaty cyfrowe	SPE	604,72
25	FE-150	Aparaty cyfrowe	PUS	604,72
26	FINEPIXA600	Aparaty cyfrowe	CER	604,72
27	150S7FS	Monitory LCD 15"	Gate	613,66
28	FE-180	Aparaty cyfrowe	PUS	616,92
29	PowerA530	Aparaty cyfrowe	Power	617,72
30	DIGIMAXS600	Aparaty cyfrowe	SAE	619,36
31	EASYSHAREC643	Aparaty cyfrowe	KK	629,12
32	52VM	Monitory LCD 15"	Clone	652,7
33	DIGIMAXS700	Aparaty cyfrowe	SAE	657,98
34	AL1922	Monitory LCD 19"	Beca	675,06
35	XE17-4	Monitory LCD 17"	CERtsu - Siemens	677,92
36	FE-190	Aparaty cyfrowe	PUS	679,14
37	B71A	Monitory LCD 17"	Ultra	681,98
38	FP71G+	Monitory LCD 17"	Centre	688,08
